id,uid,program_name,enabled?,source,subject
2262,InviteNotificationFromAdmin,Forte MBALaunch Current Student/Alumna Contacts,yes,"<div style=font-family: arial,"" sans-serif; font-size: 12.800002098083496px;""""><span style=""""font-family: Arial"", Verdana,"" sans-serif; font-size: 12px;"""">Hello"",""</span><br style=""""font-family: Arial"", Verdana,"" sans-serif; font-size: 12px;"""" /><br style=""""font-family: Arial"", Verdana,"" sans-serif; font-size: 12px;"""" /><span style=""""font-family: Arial"", Verdana,"" sans-serif; font-size: 12px;"""">The MBALaunch Current MBA Student Contacts program is designed to provide you with the opportunity to connect with a current MBA student based on criteria important to you. We are excited to introduce a new resource to manage this relationship. Please follow these instructions to make the most out of this program.</span><br style=""""font-family: Arial"", Verdana,"" sans-serif; font-size: 12px;"""" /><br style=""""font-family: Arial"", Verdana,"" sans-serif; font-size: 12px;"""" /><span style=""""font-family: Arial"", Verdana,"" sans-serif; font-size: 12px;"""">To get started"",""&nbsp;</span><b style=""""font-family: Arial"", Verdana,"" sans-serif; font-size: 12px;""""><a href=""{{url_invitation}}"">please&nbsp;create your profile</a>. &nbsp;</b><br style=""""font-family: Arial"", Verdana,"" sans-serif; font-size: 12px;"""" /><br style=""""font-family: Arial"", Verdana,"" sans-serif; font-size: 12px;"""" /><span style=""""font-family: Arial"", Verdana,"" sans-serif; font-size: 12px;"""">When you create your profile"", you will be asked to answer a series of questions. The more detailed information you provide,"" the better your coaching experience will be. This profile information will be the foundation to finding Current MBA Students who share expertise that match your areas of interest. &nbsp;</span></div><div style=""""font-family: arial"","" sans-serif; font-size: 12.800002098083496px;"""">&nbsp;</div><div style=""""font-family: arial"","" sans-serif; font-size: 12.800002098083496px;"""">After you create your profile"", you may search the &quot;Current Student Contacts&quot; tab to request connections. &nbsp;You will see filters on the left hand of the screen where you can search based on &quot;Business School,&quot; &quot;MBA Format,""&quot; &quot;Topics of Expertise&quot; among others.</div><div style=""""font-family: arial"","" sans-serif; font-size: 12.800002098083496px;"""">&nbsp;</div><div style=""""font-family: arial"","" sans-serif; font-size: 12.800002098083496px;"""">You will also be able to see other women who are part of the MBALaunch program. &nbsp;If you click the &quot;Launchers&quot; tab"", you can search based on the filter &quot;I am a member of the...&quot; and select &quot;MBALaunch On Demand.&quot; &nbsp;You can use this functionality to send messages and network with your peers.</div><br />If you have questions about this process or anything else regarding the MBALaunch program,"" please reach out to <a href=""mailto:krystal@fortefoundation.org"">Krystal Brooks</a>.",Invitation: {{invitor_name}} invites you to join {{as_role_name_articleized}}
2342,InviteNotificationFromAdmin,BBVA Compass Mentoring Program,yes,"Greetings,<br /><br />You are invited to join the {{subprogram_or_program_name}} {{as_role_name_articleized}}.&nbsp;<br /><br /><a href=""{{url_invitation}}"">Click here</a>&nbsp;to accept the invitation and launch the&nbsp;{{subprogram_or_program_name}} sign-up page.<br /><br /><strong>Important Information about Signing Up</strong><br />The&nbsp;<strong>{{subprogram_or_program_name}}</strong>&nbsp;<span style=""font-size:13px; line-height:1.6em"">system is set up for Single Sign On (SSO), which only works if you are accessing/signing up from&nbsp;</span><u style=""font-size:13px; line-height:1.6em"">within</u><span style=""font-size:13px; line-height:1.6em"">&nbsp;the BBVA Compass network.</span><ul> <li>Select the&nbsp;<strong>BBVA&nbsp;</strong><strong>Login&nbsp;</strong>option if you are accessing/signing up from within the BBVA Compass network.</li> <li>If you are accessing/signing up from outside of the network, you will need to enter your email address, name and select a password which you will need to use anytime you access the system outside of the network. &nbsp;&nbsp;</li></ul>Once signed up, the system will prompt you to begin completing your online profile. Although we encourage you to complete your profile right away, you may&nbsp;return later to complete it at your convenience.<br /><br />Please check your email inbox for a welcome message with additional instructions and next steps to get you started. You should receive this email shortly.",Invitation to join the {{subprogram_or_program_name}}
2346,InviteNotificationFromAdmin,Leadership Essentials Mentoring,yes,"Greetings,<br /><br />You are invited to join the <strong>{{subprogram_or_program_name}} Program</strong> {{as_role_name_articleized}}.&nbsp;<br /><br /><a href=""{{url_invitation}}"">Click here</a>&nbsp;to accept the invitation and launch the&nbsp;<strong>{{subprogram_or_program_name}} Program</strong> sign-up page.<br /><br /><strong>Important Information about Signing Up</strong><br />The&nbsp;<strong>{{subprogram_or_program_name}}</strong>&nbsp;<strong>Program </strong>system is set up for Single Sign On (SSO), which only works if you are accessing/signing up from&nbsp;<u>within</u>&nbsp;the BBVA Compass network.<ul> <li>Select the&nbsp;<strong>BBVA&nbsp;</strong><strong>Login&nbsp;</strong>option if you are accessing/signing up from within the BBVA Compass network.</li> <li>If you are accessing/signing up from outside of the network, you will need to enter your email address, name and select a password which you will need to use anytime you access the system outside of the network. &nbsp;&nbsp;</li></ul>Once signed up, the system will prompt you to begin completing your online profile. Although we encourage you to complete your profile right away, you may&nbsp;return later to complete it at your convenience.<br /><br />Please check your email inbox for a welcome message with additional instructions and next steps to get you started. You should receive this email shortly.",Invitation to join the {{subprogram_or_program_name}} Program
2352,InviteNotificationFromAdmin,Mentoring U Selmon Style,yes,"Hello,<br />&nbsp;<br />I hope this email finds you well. You are receiving this email today because you were recommended to become a {{role_name}} for student-athletes at the University of South Florida (USF) who participate in the {{subprogram_or_program_name}} program.<br />&nbsp;<br />{{subprogram_or_program_name}} aims to utilize compassionate mentoring to develop professionally prepared student-athletes. To accomplish this goal, we are calling upon our USF community leaders to serve as volunteer mentors for the next generation of professionals.<br />&nbsp;<br />Volunteer mentors are paired with student-athletes based on common interests and experiences, and become part of a support system to guide student-athletes as they transition into the next phase of their lives after graduation.&nbsp; We are currently building our mentor database.<br /><br /><a href=""{{url_invitation}}"" target=_blank"""">Click here</a> to accept the invitation"", and to learn more about this opportunity.&nbsp; This information includes mentor expectations, benefits of mentor participation, and read answers to some frequently asked questions.<br />&nbsp;<br />After visiting the website, please take a few minutes to complete the mentor profile to indicate your interest in becoming a volunteer mentor.&nbsp; Additionally, completing this profile ensures we have your most updated contact information, as well as key data points for our mentor/mentee matching process.<br />&nbsp;<br />If you have any questions,"" please do not hesitate to contact {{subprogram_or_program_name}} by emailing <a href=""mailto:MentoringUSelmonStyle@usf.edu"">MentoringUSelmonStyle@usf.edu</a>&nbsp;or calling (813) 974-9749.",Invitation – You are invited to join {{as_role_name_articleized}} in {{subprogram_or_program_name}}
2401,InviteNotificationWithoutRoles,LMG Mentoring,yes,"<div>Hello,&nbsp;</div><div>&nbsp;</div><div>You have been added as a member to the&nbsp;East Africa Women&#39;s Mentoring Network&nbsp;by {{invitor_name}}.&nbsp;</div><div>&nbsp;</div><div><a href=""{{url_invitation}}"" style=""color: rgb(17, 85, 204);"" target=""_blank"">Click here</a>&nbsp;to accept the invitation and sign up for the&nbsp;Mentoring Network&nbsp;as a member. Please review and publish your profile with the help of&nbsp;<a href=""https://www.youtube.com/watch?v=uuau0ONegi0&amp;feature=youtu.be"" style=""color: rgb(17, 85, 204);"" target=""_blank"">this instructional video.</a>&nbsp;</div><div>&nbsp;</div><div>Thanks,&nbsp;</div><div>&nbsp;</div><div>Your Administrators<br />&nbsp;</div>",Invitation: You are invited to join {{subprogram_or_program_name}}
2432,InviteNotificationFromAdmin,Leap Mentoring,yes,"Greetings,<br /><br />You are invited to join the&nbsp;<strong>leap Mentoring Program</strong>&nbsp;{{as_role_name_articleized}}.&nbsp;<br /><br /><a href=""{{url_invitation}}"">Click here</a>&nbsp;to accept the invitation and launch the&nbsp;<strong>leap Mentoring Program</strong>&nbsp;sign-up page.<br /><br /><strong>Important Information about Signing Up</strong><br />The&nbsp;<strong>leap Mentoring&nbsp;Program</strong> system is set up for Single Sign On (SSO), which only works if you are accessing/signing up from&nbsp;<u>within</u>&nbsp;the BBVA Compass network.<ul> <li>Select the&nbsp;<strong>BBVA&nbsp;</strong><strong>Login&nbsp;</strong>option if you are accessing/signing up from within the BBVA Compass network.</li> <li>If you are accessing/signing up from outside of the network, you will need to enter your email address, name and select a password which you will need to use anytime you access the system outside of the network. &nbsp;&nbsp;</li></ul>Once signed up, the system will prompt you to begin completing your online profile. Although we encourage you to complete your profile right away, you may&nbsp;return later to complete it at your convenience.<br /><br />Please check your email inbox for a welcome message with additional instructions and next steps to get you started. You should receive this email shortly.",Invitation to join the leap Mentoring Program
2444,InviteNotificationFromAdmin,RWJF NCIN Doctoral Advancement in Nursing,yes,"Greetings,<br /><br />You are invited to join the {{subprogram_or_program_name}} {{as_role_name_articleized}}.<br /><br />Please&nbsp;<a href=""{{url_invitation}}"">Click here</a> to accept the invitation and sign up for {{subprogram_or_program_name}} {{as_role_name_articleized}}.<br /><br />Vernell&nbsp; P Dewitty. PhD, RN<br />Program Deputy Director<br />Robert Wood Johnson Foundation New Careers in Nursing Scholarship Program<br />American Association of Colleges of Nursing<br />One Dupont Circle, Suite 530<br />Washington, DC 20036-1120<br /><em>Office</em>: 202.463-6930, ext 224<br /><em>Fax</em>: 202.785.8320<br /><a href=http://www.newcareersinnursing.org/"">www.newcareersinnursing.org</a><br /><a href=""mailto:vdewitty@aacn.nche.edu""><em>vdewitty@aacn.nche.edu</em></a>""",Congratulations! You've been selected to join the DAN Project {{as_role_name_articleized}}!
2463,InviteExpiryNotification,Comcast Mentoring,yes,"Hello,<br /><br />Your invitation to join <a href=""{{url_subprogram_or_program}}"">{{subprogram_or_program_name}}</a> {{as_role_name_articleized}} is going to expire on {{invitation_expiry_date}}.<br /><br /><a href=""{{url_invitation}}"">Click here</a> to accept the invitation and sign up for {{subprogram_or_program_name}} {{as_role_name_articleized}}.<br /><br />Thanks,<br />Alicia Taylor<br />Administrator, Comcast eMentor<br /><a href=""mailto:Alicia.Taylor@cable.comcast.com"">Alicia.Taylor@cable.comcast.com</a>",Your Comcast eMentor invitation to join {{as_role_name_articleized}} is about to expire
3038,InviteNotificationFromAdmin,Kronos Mentoring Program,yes,"Congratulations,<br />
<br />
You are invited to join the&nbsp;Kronos Mentor Program {{as_role_name_articleized}} in the{{subprogram_or_program_name}}. If you haven&#39;t already done so, please review&nbsp;additional program infomration <a href=""https://kronosmentoring.chronus.com/ck_attachments/2464"" target=""_blank"">here</a>.&nbsp;&nbsp;Once you&#39;re ready to enroll, <a href=""{{url_invitation}}"">Click here</a> to accept the invitation and sign up for the program. Your invitation will remain open for the next 10 days.<br />
<br />
If you have any questions or program feedback, please contact the Program Administrator or your HR Business Partner.<br />
<br />
{{widget_signature}}",Kronos Mentor Program Invitation
3133,InviteExpiryNotification,Kronos Mentoring Program,yes,"We recently sent you an invitation to join the Kronos Mentor Program. We hope that you decide to take advantage of this development opportunity. Your invitation will expire on {{invitation_expiry_date}}. If you are still interested in joining, <a href=""{{url_invitation}}"">Click here</a> to accept the invitation and sign up for the program.<br />
<br />
If you have any questions or program feedback, please contact the Program Administrator or you HR Business Partner.<br />
<br />
<br />
{{widget_signature}}",Kronos Mentor Program Invitation Reminder
3193,InviteNotificationFromAdmin,Sachs Foundation,yes,"Greetings,<br />
<br />
You are invited to join the {{subprogram_or_program_name}} {{as_role_name_articleized}} by {{invitor_name}}.<br />
<br />
<a href=""{{url_invitation}}"">Click here</a> to accept the invitation and sign up for {{subprogram_or_program_name}} {{as_role_name_articleized}}.<br />
<br />
The goal of the GMS Mentoring program is to:<br />
<br />
Encourage the development of caring and supportive relationships amongst Scholars and Alumni which increase leadership in action, increase service to others, academic excellence, the successful management of real-life situations and networking.<br />
We hope you take full advantage of this opportunity to engage with other GMS Scholars and the associated benefits of having a mentor.<br />
<br />
The videos below should help you navigate the platform so that your mentoring experience is successful. If you have additional questions, feel free to message the system administrator.<br />
&nbsp;<br />
Helpful Videos:<br />
&nbsp;<br />
Learn about your Mentoring Profile: http://www.youtube.com/watch?v=cS6Fdmd-iXY&amp;feature=youtu.be&amp;hd=1<br />
<br />
Learn about the homepage, features, and navigation: http://youtu.be/TpIRNYzwL38?hd=1<br />
<br />
Learn about Mentoring Milestones: https://www.youtube.com/watch?v=wb_PSlfemuQ<br />
<br />
We look forward having you as part of our program!<br />
<br />
<br />
<br />
<a href=""{{url_invitation}}"">Click here</a> to accept the invitation and sign up for {{subprogram_or_program_name}} {{as_role_name_articleized}}.<br />
<br />
<br />
Best,<br />
Kelvin J. Harris<br />
Gates Millennium Scholars Program<br />
Relationship Manager for Mentoring<br />
Mentoring@gmsp.org<br />",Invitation: {{invitor_name}} invites you to join {{as_role_name_articleized}}
429,InviteNotificationFromAdmin,Professional Mentorship Program for Undergraduates,yes,"Dear,<br/>
<br/>
Thank you for your interest in the Professional Mentorship Program (PMP)!<br/>
<br/>
The PMP offers a one-on-one mentoring relationship between business professionals and upper classmen in CUs Leeds School of Business! The mentoring partnership is designed to provide mentees a help guide for the last two years of college by providing career advice, assistance with networking skills, expertise on your chosen area of emphasis, and a wide range of connections in your industry of interest.<br/>
<br/>
<strong>
  <em>MENTORING MAKES A DIFFERENCE! </em>
</strong>Students who participated in this program were <strong>
  <em>40% more likely to have a job</em>
</strong> upon graduation than those who did not.

<ul>
	<li>Please <a href=""{{url_invitation}}"">Click here</a> to SIGN UP NOW!</li>
</ul>
Please allow about 10  15 minutes to complete your online Profile. Once you have completed your application, you'll be a part of the program right away!<br/>
<br/>
Mentor/student matches will be made during the summer months and you will be notified of your match in September. If you join the program after the matching period, we may not be able to match you right away; however, we do have other short-term, co-curricular mentoring opportunities that come up throughout the year. These project-based opportunities are a great way to get to know the PMP before being officially matched with one of our students. We also encourage you to attend our events in the meantime!<br/>
<br/>
We hope this mentoring partnership facilitates great value for both mentor and mentee! Please do not hesitate to contact us if you have any questions regarding program requirements and expectations, using the mentoring software or the program in general. The best method of contacting the office is by emailing <a href=""mailto:leedspmp@colorado.edu"">leedsmentoring@colorado.edu</a>. We hope to welcome you to the program soon!<br/>
<br/>
Best,<br/>
Katie Connor<br/>
Director, Leeds Mentoring Office",Leeds Professional Mentorship Program
572,InviteNotificationFromAdmin,Leeds Peer2Peer Mentoring Program,yes,"Hello,<br/>
<br/>
I would like to personally invite you to be a mentee in the Peer2Peer mentoring program. This is a great opportunity to connect with the Leeds Business School, get some helpful tips from current students to ensure your success at Leeds, and connect with faculty and staff.<br/>
<br/>
<br/>
<a href=""{{url_invitation}}"">Click here</a> to sign up for the Peer2Peer program.<br/>
<br/>
Looking forward to working with you!<br/>
<br/>
Sally Forester<br/>
Director, Leeds Peer2Peer mentoring program<br/>
<a href=""mailto:Sally.Forester@colorado.edu"">Sally.Forester@colorado.edu</a>
",You are invited to join the Peer2Peer mentoring program!
855,InviteNotificationFromAdmin,Young Alumni Mentors Program,yes,"Hello,<br/>
<br/>
We would like to invite you to participate in the {{subprogram_or_program_name}} {{as_role_name_articleized}}.<br/>
<br/>
<a href=""{{url_invitation}}"">Click here</a> to accept the invitation and sign up for the {{subprogram_or_program_name}} {{as_role_name_articleized}}.<br/>
<br/>
We hope you will consider joining us for this exciting mentoring program!<br/>
<br/>
Leeds Mentoring Programs",Join the Leeds Young Alumni mentoring program
3204,InviteNotificationFromAdmin,W. P. Carey School of Business,yes,"<h2>
  <em><img alt="""" src=""https://wpcmentors.chronus.com/ck_pictures/4667"" style=""width: 980px; height: 100px;""/><br/>
Your future is here.</em>
</h2>

<p>Having a mentor is one of the best things you can do to become successful in your career both now and in the future. To prepare business students like yourself to become great leaders in business and beyond, your W. P. Carey School of Business Career Center is pleased to announce the launch of a brand new initiative:</p>

<h2>
  <em>The Mentorship Programs at the W. P. Carey School of Business</em>
</h2>

<p>We invite you to join the inaugural, pilot phase of the Mentorship Programs this spring semester (2015).<br/>
<br/>
Mentors in the Mentorship Programs are W. P. Carey alumni and/or other professionals with significant expertise in their fields. Mentors will provide essential career direction, guidance and advice tailored to your academic and career needs.</p>

<h2>
  <em>To sign up to become a mentee, please click <a href=""https://wpcmentors.chronus.com/about"" target=""_blank"">here</a> to join.You'll be glad you did!</em>
</h2>",Invitation: NEW: Mentorship Programs at the W. P. Carey School of Business
